successorfail,moneygoal,image,projectdetail,riskchallengedetail,numberofpackage,avemoneypackage,minmoneypackage,maxmoneypackage,category_animemanga,category_game,category_kosumebeauty,category_startup,category_sports,category_technology,category_fashion,category_food,category_product,category_restaurants,category_world,category_bookjournalism,category_regionalactivation,category_movie,category_communityservice,category_music
1,3333333,25,4714,0,13,456471,10800,2000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,500000,55,2142,0,11,33010,22014,51159,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,37,1364,0,4,18782,9590,41561,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2000000,94,2338,0,11,32765,12600,75800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,44,1407,0,8,15100,7700,26300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,25,1050,190,12,52825,2926,278400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3000000,21,4405,0,9,176111,20000,700000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,200000,19,1555,40,11,12608,4500,45000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000000,12,509,129,7,142909,6335,743200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,600000,14,638,136,9,113667,64020,307290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,18,918,171,19,52712,2926,278400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,67,2110,0,10,566400,198000,2000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,25,2763,0,4,10800,5400,16200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,10800000,11,2508,0,4,22950,5400,54000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200000,18,925,175,17,9168,2989,17243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,100000,52,1336,0,7,7983,4980,11309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,9,897,123,16,1980,1980,1980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,20000000,8,1232,242,8,33125,1000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1080000,1,376,0,6,208620,12960,285120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,9,239,0,14,123164,90000,222000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5000000,10,1123,0,22,10843,950,52000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,300000,47,2666,185,12,20498,5858,53075,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,39,1546,23,19,13800,3000,37000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1000000,16,1790,0,15,46400,23000,128000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,300000,39,1956,0,10,26600,500,175000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1500000,19,2829,0,16,46125,10000,115000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,300000,46,2185,0,7,34885,5500,200000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,26,990,86,16,6615,3780,9450,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1620000,20,1048,0,6,42930,12150,121500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,47,1382,0,10,40080,27000,96500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,10,1107,186,15,30775,8125,78750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,13,579,100,12,12375,5100,21600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,39,2428,0,6,163300,29800,218000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,32,1458,92,4,17968,16335,19602,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,28,2051,0,16,47980,2500,320000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,80,3130,221,6,12916,1870,26400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,50,3311,0,11,100400,23000,126000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,27,1211,0,8,21916,7400,74040,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,27,1634,0,5,46070,12750,102000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,555000,43,1563,0,8,54207,19980,239800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,39,2263,0,7,11042,10900,11900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,38,2131,208,7,15042,14900,15900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,14355000,25,1285,127,4,55275,42900,66000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,200000,53,2430,0,11,49647,680,208000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,10,1107,186,15,30775,8125,78750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,26,2124,0,6,35016,5980,42984,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,19,2749,37,12,33958,18000,75000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,200000,92,2202,0,9,13642,10480,19800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,17,2528,0,12,45583,14000,150000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,400000,68,1985,0,10,10285,8470,16940,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,64,2000,0,16,26231,24600,27700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,100000,16,657,0,9,7574,3887,16744,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3240000,31,2048,0,11,19587,1620,45360,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,54,1898,0,12,6304,1658,13335,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,34,1724,0,9,32088,1200,68500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,0,481,4,10,151900,1000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3000000,43,1699,0,3,40320,15120,75600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,9,2462,0,13,34846,6000,90000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,500000,41,1296,73,11,34540,26200,54300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,16,839,0,9,16320,9180,32400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1000000,44,927,107,3,51840,48600,55080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,75,5273,0,11,129072,29800,168000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,32,1751,0,9,9325,6000,12750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2000000,25,1660,48,14,238642,3000,1000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,300000,48,998,156,8,5945,2970,9999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,36,909,0,8,17260,2990,33200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,14,1087,143,5,9310,6390,14990,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,34,1231,0,6,13940,6840,36000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,13,543,66,9,14655,6980,35840,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,10500000,4,83,0,10,817932,15750,7443900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3000000,40,1692,0,9,66800,63800,69800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1080000,22,1756,0,9,8868,1080,16200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1000000,25,1662,128,4,305135,23000,954800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,100000,37,1112,123,9,10672,4886,28000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,28,828,0,7,30700,14900,51000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,1,43,196,9,28577,14900,79000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,53,2166,309,12,11829,5574,19149,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,300000,42,1543,57,6,26016,18700,38400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,50,2344,0,24,15175,7800,26520,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,28,955,0,6,9680,5980,13880,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,200000,57,2195,0,10,8186,4493,12442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,100000,64,2692,0,6,7235,2500,20500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,43,782,0,7,20500,7000,65800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,61,2525,0,11,8830,3285,16000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,200000,27,317,87,5,7104,3684,13930,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,57,2406,59,20,25170,4400,38115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,10,237,0,6,18320,11380,25760,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3330000,17,3986,0,5,106200,3000,400000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200000,39,1578,143,7,27514,5280,93600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,14,814,0,6,57317,18748,160704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,33,1902,46,11,9725,4200,21000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1210000,14,2219,0,8,46312,7000,200000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,500000,40,2095,0,11,5909,3000,10000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,41,1173,0,10,13870,12000,15300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2000000,20,2583,0,17,455516,3000,3000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,500000,16,1122,235,4,29800,22350,44700,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,22,1875,97,9,15586,5950,28560,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,300000,43,1606,0,10,22278,2916,97200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,38,1834,0,7,24840,9180,75600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,7830000,16,1606,0,13,19487,3500,55000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200000,38,1890,142,5,37320,18800,72800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3000000,9,1270,0,10,141500,5000,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,300000,38,1390,0,9,25844,13900,56160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,500000,60,951,70,14,14164,1000,52800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1000000,28,1814,159,11,42483,2992,299200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
